local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3, bleu-4
4060,0.27347610788130794,0.19347319347319347,0.46629213483146065,0.0622489922642379,0.04133333333333333,0.12601626016260162,0.2339373928895451,0.1655011655011655,0.398876404494382,0.17870036101083037,0.04787714543812104,0.011754068716094034,0.003619909502262445
4061,0.2714570817837379,0.18888888888888888,0.48226950354609927,0.05668015815648354,0.0379746835443038,0.11170212765957446,0.2355289380711631,0.1638888888888889,0.41843971631205673,0.21151079136690648,0.05907780979827089,0.027417027417027413,0.017341040462427744
4062,0.27770360078288636,0.1925925925925926,0.49760765550239233,0.06117646705684295,0.03967446592065107,0.13356164383561644,0.25634178502854726,0.17777777777777778,0.45933014354066987,0.1879971077368041,0.05426917510853836,0.01448225923244026,0.005797101449275361
4063,0.2446043127788417,0.16346153846153846,0.4857142857142857,0.06850828413281661,0.04264099037138927,0.17415730337078653,0.2230215789658921,0.14903846153846154,0.44285714285714284,0.15224191866527634,0.05949895615866388,0.030303030303030304,0.019874476987447702
4064,0.31339030845853527,0.28061224489795916,0.3548387096774194,0.13872831885996875,0.11764705882352941,0.16901408450704225,0.2849002799685068,0.25510204081632654,0.3225806451612903,0.3317422434367542,0.12679425837320576,0.07673860911270983,0.05048076923076923
4065,0.39130434295900285,0.3364485981308411,0.4675324675324675,0.12931034009846928,0.1048951048951049,0.16853932584269662,0.33695651687204636,0.2897196261682243,0.4025974025974026,0.3387096774193548,0.11891891891891894,0.07065217391304346,0.049180327868852444
4066,0.3216783169893666,0.2574626865671642,0.42857142857142855,0.07407406946849784,0.05783132530120482,0.10300429184549356,0.2797202750313246,0.22388059701492538,0.37267080745341613,0.3320537428023032,0.07692307692307693,0.025048169556840073,0.01544401544401544
4067,0.40639268979952464,0.29372937293729373,0.6592592592592592,0.20963172415102446,0.14258188824662812,0.39572192513368987,0.37442921947988994,0.2706270627062706,0.6074074074074074,0.272,0.15887850467289721,0.10695187165775402,0.08433734939759034
4068,0.3098201897893555,0.20934579439252338,0.5957446808510638,0.12349913884532901,0.08,0.2706766917293233,0.2738589173135602,0.18504672897196262,0.526595744680851,0.23813632441760135,0.10967184801381692,0.06828003457216938,0.05536332179930797
4069,0.3260869519210775,0.45454545454545453,0.2542372881355932,0.08906882130111975,0.12359550561797752,0.06962025316455696,0.29347825626890367,0.4090909090909091,0.2288135593220339,0.24511535595702885,0.07296920215056191,0.032720316837355136,0.012380660424945188
407,0.19999999617959188,0.1346153846153846,0.3888888888888889,0.05370843648062894,0.03436988543371522,0.12280701754385964,0.18367346556734704,0.12362637362637363,0.35714285714285715,0.15492957746478872,0.04487179487179488,0.017971758664955075,0.011568123393316197
4070,0.16299559213598172,0.09610389610389611,0.5362318840579711,0.03385049162916454,0.01910828025477707,0.14814814814814814,0.12334801504347072,0.07272727272727272,0.4057971014492754,0.0904079382579934,0.028697571743929364,0.00994475138121547,0.0033185840707964597
4071,0.29365078942247735,0.21082621082621084,0.48366013071895425,0.08301886392152227,0.057391304347826085,0.15,0.2539682497399377,0.18233618233618235,0.41830065359477125,0.2185792349726776,0.06703146374829,0.026027397260273977,0.0178326474622771
4072,0.31807228481858035,0.2332155477031802,0.5,0.12799999595397135,0.08908685968819599,0.22727272727272727,0.29397589927641166,0.21554770318021202,0.4621212121212121,0.2698412698412698,0.09379968203497614,0.060509554140127396,0.05263157894736841
4073,0.3823529364532872,0.30952380952380953,0.5,0.10835912866542399,0.08158508158508158,0.16129032258064516,0.3431372501787774,0.2777777777777778,0.44871794871794873,0.3013698630136986,0.09262435677530016,0.03608247422680413,0.017211703958691905
4074,0.34343433852731875,0.3022222222222222,0.39766081871345027,0.11705685135647272,0.09887005649717515,0.14344262295081966,0.3282828233758035,0.28888888888888886,0.38011695906432746,0.38852097130242824,0.12610619469026552,0.07317073170731705,0.05555555555555554
4075,0.3194444395114241,0.2863070539419087,0.3612565445026178,0.06853582067138358,0.05913978494623656,0.08148148148148149,0.2546296246966093,0.22821576763485477,0.2879581151832461,0.40717299578059074,0.08668076109936576,0.016949152542372878,0.0021231422505307855
4076,0.27401129589058865,0.1779816513761468,0.5950920245398773,0.09991235452257169,0.061555075593952485,0.2651162790697674,0.2598870021052779,0.1688073394495413,0.5644171779141104,0.14929577464788732,0.06624383368569416,0.04442877291960507,0.03599153140437545
4077,0.23437499517578134,0.28846153846153844,0.19736842105263158,0.04054053571950386,0.05,0.03409090909090909,0.2031249951757814,0.25,0.17105263157894737,0.20588282740325528,0.033425682566646145,1.264368412190707e-308,1.264368412190707e-308
4078,0.2695852500888743,0.17155425219941348,0.6290322580645161,0.11638203390364955,0.06985573272589218,0.3484848484848485,0.23502303810730749,0.1495601173020528,0.5483870967741935,0.14189189189189189,0.07154929577464789,0.04960541149943631,0.04004512126339537
4079,0.27876105808873053,0.18862275449101795,0.5338983050847458,0.09523809180152727,0.06108202443280977,0.21604938271604937,0.2477876067612969,0.16766467065868262,0.4745762711864407,0.16666666666666669,0.05711086226203806,0.02354260089686098,0.014590347923681257
408,0.326123124493343,0.21397379912663755,0.6853146853146853,0.15953307074868664,0.09951456310679611,0.4019607843137255,0.3028286153419288,0.19868995633187772,0.6363636363636364,0.1796157059314954,0.10284280936454848,0.06945606694560671,0.05276381909547739
4080,0.10285713821779614,0.140625,0.08108108108108109,0.0,0.0,0.0,0.10285713821779614,0.140625,0.08108108108108109,0.1009238473398189,8.623219753567056e-309,8.623219753567056e-309,8.623219753567056e-309
4081,0.3094339582388039,0.21465968586387435,0.5540540540540541,0.13658536224140402,0.08945686900958466,0.28865979381443296,0.2943396186161623,0.20418848167539266,0.527027027027027,0.20605355064027936,0.10489510489510488,0.06651108518086347,0.049065420560747655
4082,0.3262711822853527,0.23123123123123124,0.5539568345323741,0.1820546125237208,0.12323943661971831,0.3482587064676617,0.30084745347179337,0.2132132132132132,0.5107913669064749,0.22615803814713895,0.11732605729877214,0.07513661202185794,0.06019151846785224
4083,0.2536997837301379,0.21660649819494585,0.30612244897959184,0.06060605574858081,0.05185185185185185,0.07291666666666667,0.22832980487178695,0.19494584837545126,0.2755102040816326,0.33073929961089493,0.07797270955165693,0.029296875000000003,0.017612524461839526
4084,0.30303029803195597,0.30864197530864196,0.2976190476190476,0.07058823029481005,0.06976744186046512,0.07142857142857142,0.27878787378953174,0.2839506172839506,0.27380952380952384,0.45101464735238367,0.10683871564331054,0.0378318207483085,0.01581528260105305
4085,0.29787233611871894,0.21705426356589147,0.4745762711864407,0.12035397810798039,0.08585858585858586,0.20118343195266272,0.27659574037403806,0.20155038759689922,0.4406779661016949,0.30443159922928703,0.09845559845559844,0.061895551257253385,0.04457364341085271
4086,0.4419475605801737,0.4068965517241379,0.48360655737704916,0.16753926209465217,0.14883720930232558,0.19161676646706588,0.43445692387605384,0.4,0.47540983606557374,0.4163934426229508,0.16118421052631576,0.1023102310231023,0.07284768211920531
4087,0.3340961057166347,0.23548387096774193,0.5748031496062992,0.10724637326490247,0.0696798493408663,0.23270440251572327,0.30205949244432345,0.2129032258064516,0.5196850393700787,0.19386331938633192,0.06983240223463685,0.03216783216783216,0.021008403361344543
4088,0.2686567123708649,0.18701298701298702,0.4768211920529801,0.1090487202726892,0.0715372907153729,0.22926829268292684,0.24626865266937237,0.17142857142857143,0.4370860927152318,0.1875746714456392,0.07894736842105263,0.0467065868263473,0.03836930455635491
